Gene_pair,GeneID_1,GeneSymbol_1,GeneID_2,GeneSymbol_2,AML,MDS,MPN,CLL,MM,BCP-ALL,CMML,Mastocytosis,CML,T-NHL,T-ALL,MDS/MPN-U,MZL,MCL,HCL,aCML,HGBL,LPL,MDS/MPN-RS-T,CLPD-NK,FL,B-NHL,HCL-V,MGUS,Total
ENTPD4--NAA16,ENSG00000197217,ENTPD4,ENSG00000197217,NAA16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EP300--ANK1,ENSG00000100393,EP300,ENSG00000100393,ANK1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EP300--USP24,ENSG00000100393,EP300,ENSG00000100393,USP24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
EPB41--HIPK1,ENSG00000159023,EPB41,ENSG00000159023,HIPK1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPB41--SRSF4,ENSG00000159023,EPB41,ENSG00000159023,SRSF4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPB41--YTHDF2,ENSG00000159023,EPB41,ENSG00000159023,YTHDF2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPB42--ATF4,ENSG00000166947,EPB42,ENSG00000166947,ATF4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPB42--E2F2,ENSG00000166947,EPB42,ENSG00000166947,E2F2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPC1--EXOC6,ENSG00000120616,EPC1,ENSG00000120616,EXOC6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPC1--NFRKB,ENSG00000120616,EPC1,ENSG00000120616,NFRKB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
